ID,IP,MAC,HOSTNAME,DOMAIN INFO,OS
1,1.2.3.4,f00:f422:f112:f44,SERVER1,RANDOM,WIN
2,1.2.3.5,f00:f422:f113:f45,SERVER2,RANDOM,LINUX
3,1.2.3.6,f00:f422:f112:f45,SERVER3,RANDOM,MAC
4,1.2.3.7,f00:f422:f113:f46,SERVER4,RANDOM,WIN
5,1.2.3.8,f00:f422:f112:f46,SERVER5,RANDOM,WIN
6,1.2.3.9,f00:f422:f113:f47,SERVER6,RANDOM,LINUX
7,1.2.3.10,f00:f422:f112:f47,SERVER7,RANDOM,MAC
8,1.2.3.11,f00:f422:f113:f48,SERVER8,RANDOM,WIN
9,1.2.3.12,f00:f422:f112:f48,SERVER9,RANDOM,WIN
10,1.2.3.13,f00:f422:f113:f49,SERVER10,RANDOM,LINUX
11,1.2.3.14,f00:f422:f112:f49,SERVER11,RANDOM,MAC
12,1.2.3.15,f00:f422:f113:f50,SERVER12,RANDOM,WIN
13,1.2.3.16,f00:f422:f112:f50,SERVER13,RANDOM,WIN
14,1.2.3.17,f00:f422:f113:f51,SERVER14,RANDOM,LINUX
15,1.2.3.18,f00:f422:f112:f51,SERVER15,RANDOM,MAC
16,1.2.3.19,f00:f422:f113:f50,SERVER16,RANDOM,LINUX
17,1.2.3.20,f00:f422:f112:f50,SERVER17,RANDOM,MAC
18,1.2.3.21,f00:f422:f113:f51,SERVER18,RANDOM,WIN
19,1.2.3.22,f00:f422:f112:f51,SERVER19,RANDOM,WIN
20,1.2.3.23,f00:f422:f113:f52,SERVER20,RANDOM,LINUX
21,1.2.3.24,f00:f422:f112:f52,SERVER21,RANDOM,MAC
22,1.2.3.25,f00:f422:f113:f51,SERVER22,RANDOM,LINUX
23,1.2.3.26,f00:f422:f112:f51,SERVER23,RANDOM,MAC
24,1.2.3.27,f00:f422:f113:f52,SERVER24,RANDOM,WIN
25,1.2.3.28,f00:f422:f112:f52,SERVER25,RANDOM,WIN
26,1.2.3.29,f00:f422:f113:f53,SERVER26,RANDOM,LINUX
27,1.2.3.30,f00:f422:f112:f53,SERVER27,RANDOM,MAC
28,1.2.3.31,f00:f422:f113:f52,SERVER28,RANDOM,LINUX
29,1.2.3.32,f00:f422:f112:f52,SERVER29,RANDOM,MAC
30,1.2.3.33,f00:f422:f113:f53,SERVER30,RANDOM,WIN
31,1.2.3.34,f00:f422:f112:f53,SERVER31,RANDOM,WIN
32,1.2.3.35,f00:f422:f113:f54,SERVER32,RANDOM,LINUX
33,1.2.3.36,f00:f422:f112:f54,SERVER33,RANDOM,MAC
34,1.2.3.37,f00:f422:f113:f50,SERVER34,RANDOM,LINUX
35,1.2.3.38,f00:f422:f112:f50,SERVER35,RANDOM,MAC
36,1.2.3.39,f00:f422:f113:f51,SERVER36,RANDOM,WIN
37,1.2.3.40,f00:f422:f112:f51,SERVER37,RANDOM,WIN
